                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                  1.597,                 0.9796,                 1.8455,                 1.7245,                 1.4814,                 1.9751,                 0.8056,                0.68421,                0.78078,                0.38034,                 1.5445,                 1.5285,                 2.5018,                  1.582,                 2.2108,                 2.5902,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.4124,                0.99403,                 1.7484,                 1.4835,                 1.5176,                 1.7761,                0.81458,                0.69414,                0.80752,                0.40931,                  1.541,                 1.5104,                 2.5583,                 1.6538,                 2.0574,                 2.6538,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.4686,                0.87151,                 1.7259,                 1.5432,                 1.2826,                 1.7836,                0.69019,                0.82131,                  0.827,                0.43334,                 1.6392,                 1.5691,                 2.5666,                 1.4933,                 2.0597,                 2.5074,                0.00101,                0.00101,                0.00101
                    103,                 1.6528,                  1.084,                 2.0291,                 1.6292,                 1.8574,                 2.0984,                0.94745,                0.63158,                0.81984,                0.45156,                 1.5932,                 1.5913,                 2.5232,                 1.4731,                 2.0143,                 2.4577,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.3599,                0.92414,                  1.685,                 1.4344,                 1.4037,                 1.7607,                0.67684,                0.68421,                0.59558,                0.28829,                 1.7783,                 1.6531,                 2.6044,                 1.6538,                 2.4117,                  2.689,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.4795,                0.95222,                 1.7367,                 1.6508,                 1.3767,                 1.8789,                0.63284,                0.57895,                0.57044,                0.26526,                 1.8573,                 1.6947,                 2.6663,                 1.7292,                 2.6373,                  2.758,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.5327,                 1.0203,                 1.9554,                 1.7578,                  1.694,                 2.0777,                0.49116,                0.68421,                0.55477,                0.24737,                 1.9296,                 1.7735,                 2.7975,                 1.9016,                 2.6931,                 2.9148,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.3216,                0.89977,                 1.6794,                 1.4982,                 1.1642,                 1.7506,                0.62898,                0.78947,                0.58872,                0.29248,                 1.7116,                 1.6883,                 2.6718,                 1.7542,                 2.3387,                 2.7153,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.3426,                0.89468,                 1.7314,                 1.3886,                 1.2309,                 1.7626,                0.65537,                0.73684,                0.72347,                0.37379,                 1.5291,                 1.6604,                 2.4636,                  1.589,                  2.177,                 2.4972,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.3872,                0.88119,                 1.6981,                 1.5357,                 1.2067,                 1.7861,                0.64494,                 0.7654,                0.71848,                0.36375,                 1.6168,                 1.6587,                 2.5252,                 1.6461,                  2.168,                 2.5792,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.3989,                0.96236,                 1.7304,                 1.5145,                 1.3947,                 1.8182,                0.81993,                0.71967,                 0.7687,                0.42859,                 1.4863,                 1.6777,                 2.4747,                 1.4873,                 2.0348,                 2.4686,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.4707,                 1.0498,                 1.7941,                 1.6099,                 1.6045,                 1.8354,                0.75618,                0.73684,                0.77885,                0.41105,                 1.5502,                 1.6213,                 2.4681,                 1.5661,                 1.9685,                 2.6389,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.5266,                0.93941,                 1.8355,                 1.6602,                 1.2941,                 1.9803,                0.72153,                0.73684,                   0.75,                0.28686,                 2.0768,                 1.7099,                 2.9752,                 2.1708,                 2.1425,                  3.063,               0.000911,               0.000911,               0.000911
                    113,                 1.4496,                0.85321,                   1.72,                 1.5003,                 1.2029,                 1.7887,                0.92848,                0.68337,                0.80147,                0.33944,                 1.9784,                 1.6885,                 2.8394,                 2.1141,                 2.0046,                 2.9353,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.3322,                0.89719,                 1.7378,                 1.4615,                 1.3309,                 1.8181,                0.89301,                0.68421,                0.79287,                0.41546,                 1.6326,                 1.6473,                 2.4442,                 1.5301,                 2.0372,                 2.3161,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.3969,                0.96917,                 1.8811,                 1.5467,                 1.4267,                 1.9709,                0.74482,                0.73684,                0.79725,                0.42112,                 1.5214,                 1.6046,                 2.3569,                 1.4446,                 1.9701,                 2.3356,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.3227,                0.90087,                 1.8169,                 1.4841,                 1.2515,                 1.9295,                0.62497,                0.78939,                0.56541,                0.28024,                 1.5795,                  2.338,                 2.6363,                  1.467,                 2.8662,                  2.383,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.2242,                0.89178,                 1.6836,                 1.3215,                 1.1556,                 1.7189,                0.60574,                0.88967,                0.58542,                 0.2726,                 1.6188,                 2.1092,                 2.7043,                 1.5722,                 2.8254,                  2.528,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.3088,                0.96119,                 1.7135,                 1.3655,                 1.4903,                 1.7765,                0.62313,                0.87074,                0.66788,                0.29216,                 1.6678,                 1.6337,                 2.6441,                 1.8142,                 2.4226,                 2.9938,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.2857,                0.77591,                  1.557,                 1.3186,                 1.0929,                 1.5956,                0.63599,                0.89474,                0.63051,                0.27964,                 1.6229,                 1.5638,                 2.5838,                 1.6714,                 2.5148,                 2.8896,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.3566,                0.87108,                 1.6954,                 1.4143,                 1.2095,                 1.7296,                0.64062,                0.73684,                0.65919,                0.32569,                 1.6076,                 1.5451,                 2.6187,                 1.5941,                  1.999,                 2.7784,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.1644,                0.76598,                  1.521,                 1.2405,                 1.0184,                 1.5963,                0.83407,                0.68421,                0.78141,                0.43878,                  1.515,                 1.5051,                 2.5072,                 1.5285,                 1.7456,                 2.5772,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.2039,                0.83957,                 1.5651,                 1.2938,                 1.2254,                 1.6304,                0.65408,                0.73684,                0.74255,                0.41542,                 1.6504,                 1.5781,                 2.4722,                 1.5409,                 1.7687,                 2.2913,               0.000812,               0.000812,               0.000812
                    123,                 1.2326,                0.77015,                 1.6035,                  1.331,                 1.0877,                 1.6967,                0.60627,                0.72967,                0.71979,                0.40709,                 1.7228,                 1.6187,                 2.5274,                 1.5695,                 1.8284,                 2.3303,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.4745,                0.86957,                 1.8248,                   1.51,                 1.2458,                 1.8338,                0.63143,                0.72186,                0.69853,                 0.4146,                 1.6104,                 1.7083,                 2.3759,                  1.456,                 2.0146,                 2.2313,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.2335,                0.78087,                 1.5404,                  1.325,                 1.1317,                 1.5894,                0.67041,                0.84211,                0.72244,                0.44001,                 1.5325,                 1.6945,                 2.3016,                  1.483,                 1.8914,                 2.2544,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.3467,                0.83355,                 1.6422,                 1.4131,                 1.0843,                 1.6655,                0.73709,                0.73783,                0.77912,                0.38901,                 1.6653,                  1.565,                 2.4697,                 1.7097,                 1.7836,                 2.4554,              0.0007724,              0.0007724,              0.0007724
                    127,                  1.352,                0.88137,                 1.6874,                 1.3496,                 1.2034,                 1.7124,                      1,                0.71764,                0.82684,                0.35894,                 2.0037,                  1.605,                 2.7731,                 2.0204,                 1.8209,                 2.7223,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.2659,                0.83042,                 1.6012,                 1.3518,                 1.0781,                 1.6877,                0.87452,                0.84211,                0.83382,                0.31596,                 2.2251,                 1.7039,                 3.0232,                  2.255,                 1.8473,                 2.9248,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.2593,                0.87713,                   1.61,                 1.3661,                 1.2171,                 1.7167,                      1,                0.82552,                0.85686,                0.42691,                 1.8604,                 1.7124,                  2.627,                 1.8144,                 1.7684,                 2.5742,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.3454,                0.87803,                 1.5884,                 1.5397,                 1.3165,                 1.6925,                0.80609,                0.73684,                0.83848,                0.47573,                 1.4615,                 1.6977,                 2.2924,                 1.5833,                  1.821,                 2.3577,              0.0007328,              0.0007328,              0.0007328
                    131,                  1.289,                0.92438,                 1.6609,                 1.3431,                 1.2838,                 1.6802,                0.57382,                0.84211,                0.72296,                0.38449,                 1.4694,                  1.871,                  2.375,                 1.5629,                  2.149,                 2.6251,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.2288,                0.80525,                 1.6447,                 1.3318,                 1.1597,                 1.6815,                0.63492,                0.82429,                0.71667,                 0.3759,                 1.3736,                 1.9472,                 2.3083,                 1.3497,                 2.4428,                 2.3138,               0.000713,               0.000713,               0.000713
                    133,                 1.1213,                0.72437,                 1.5014,                 1.2619,                 1.0475,                 1.6035,                0.63463,                0.73684,                0.72963,                0.38439,                 1.4583,                 1.7858,                 2.3993,                 1.3865,                 2.2948,                 2.4767,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.3081,                0.78685,                 1.6663,                  1.432,                 1.0778,                 1.7716,                0.49036,                0.63158,                0.58513,                0.26806,                 1.8518,                 1.6479,                 2.7974,                 1.7971,                 2.2821,                 3.0946,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.2423,                0.77986,                   1.51,                 1.2642,                 1.0434,                 1.5301,                0.62585,                 0.7049,                0.62989,                0.28771,                 1.7787,                 1.6166,                 3.3304,                 1.7688,                 2.1716,                 3.2924,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.2043,                0.71948,                 1.4837,                 1.2448,                 1.0674,                 1.5011,                0.69583,                0.68421,                0.67952,                0.34153,                 1.3843,                 1.6025,                 2.4492,                 1.4924,                 2.1623,                 2.7687,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.2252,                0.80569,                 1.7052,                 1.4579,                 1.1297,                 1.8026,                0.72653,                0.69973,                0.65949,                0.35931,                 1.3699,                 1.6362,                 2.4016,                 1.4732,                 2.1741,                 2.6508,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.2251,                0.85844,                 1.6765,                 1.2786,                 1.1984,                 1.7255,                0.67328,                0.78947,                0.61236,                0.28185,                  1.615,                 1.5417,                 2.4642,                 1.7281,                 2.2366,                 2.6074,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.2691,                 0.7643,                 1.5175,                 1.3894,                 1.0092,                 1.5836,                0.60504,                0.73684,                0.57771,                0.25596,                 1.5926,                 1.5189,                 2.5105,                 1.6523,                 2.3397,                 2.5444,              0.0006437,              0.0006437,              0.0006437
                    140,                  1.172,                 0.7713,                 1.5568,                 1.3487,                 1.0673,                 1.6682,                0.55086,                0.68421,                0.58376,                0.30756,                  1.423,                 1.5805,                 2.3695,                 1.4203,                  2.571,                 2.3159,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.2514,                 0.7566,                 1.6114,                 1.3163,                 1.0549,                 1.6413,                  0.637,                0.63158,                0.62522,                0.30602,                 1.5115,                 1.6352,                 2.4172,                  1.441,                  2.589,                  2.836,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.2443,                0.86962,                 1.6036,                 1.4122,                 1.3039,                 1.7473,                0.58792,                0.78947,                0.64575,                 0.3381,                  1.427,                 1.9889,                 2.4944,                 1.4164,                 2.4221,                 2.7826,               0.000614,               0.000614,               0.000614
                    143,                 1.1065,                 0.7303,                 1.5516,                 1.2492,                 1.0111,                 1.6279,                0.63787,                0.64954,                0.73958,                0.36369,                 1.4321,                 2.0572,                 2.4193,                 1.3086,                 2.4255,                 2.5415,              0.0006041,              0.0006041,              0.0006041
                    144,                  1.221,                0.82686,                 1.7163,                  1.381,                 1.2218,                 1.8166,                0.50891,                0.84211,                 0.5734,                0.27458,                 1.5642,                 2.1982,                 2.5816,                 1.6119,                 2.5859,                 2.7411,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.1264,                0.78577,                 1.5718,                 1.2938,                 1.0828,                 1.6578,                0.49669,                0.72744,                 0.5207,                 0.2531,                 1.5177,                 2.1493,                 2.4688,                 1.6054,                 2.9466,                 2.9068,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.1841,                0.80762,                 1.4864,                 1.3431,                 1.0445,                 1.5559,                0.47941,                0.73684,                0.47691,                0.24709,                 1.4598,                 1.7311,                 2.4596,                 1.4881,                 3.7952,                 2.5056,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.1155,                0.71622,                 1.4532,                 1.2426,                0.96224,                 1.5198,                0.52107,                0.78947,                0.50085,                0.26386,                 1.5771,                 1.5951,                 2.7803,                 1.5652,                 3.5505,                 2.5773,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.0986,                0.84151,                 1.5547,                 1.1689,                 1.2014,                 1.6123,                0.58431,                0.73684,                0.58458,                0.31455,                 1.4841,                 1.4466,                  2.425,                 1.5189,                 2.3833,                 2.8883,              0.0005546,              0.0005546,              0.0005546
                    149,                 1.1493,                0.70503,                 1.4835,                 1.3584,                0.95258,                 1.6342,                0.66206,                0.78947,                0.74655,                0.44484,                 1.3541,                 1.4005,                 2.3467,                 1.3619,                 1.7635,                 2.6694,              0.0005447,              0.0005447,              0.0005447
                    150,                  1.111,                 0.7337,                 1.4256,                 1.2132,                0.99629,                 1.4969,                0.84824,                0.84211,                0.86254,                0.58003,                 1.3118,                 1.4117,                 2.3121,                 1.2415,                  1.571,                 2.6996,              0.0005348,              0.0005348,              0.0005348
                    151,                 1.0981,                0.72244,                 1.4826,                 1.2011,                 1.0781,                 1.6024,                0.86181,                0.84211,                0.85912,                0.57235,                 1.2726,                 1.4167,                 2.2967,                 1.1823,                 1.5776,                 2.5923,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.2691,                0.80405,                 1.6945,                 1.4048,                 1.1649,                 1.7838,                0.87893,                0.76498,                0.84518,                0.54022,                 1.3178,                 1.4274,                 2.3835,                 1.2527,                 1.4908,                  2.576,               0.000515,               0.000515,               0.000515
                    153,                 1.1756,                0.76981,                 1.5688,                 1.2687,                 1.0487,                 1.6384,                0.89687,                0.73684,                0.82717,                0.54585,                 1.3937,                 1.4078,                 2.2832,                 1.3094,                 1.4682,                 2.5285,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.2924,                0.76566,                 1.5921,                  1.322,                0.94557,                  1.602,                0.93186,                0.72056,                0.81857,                0.54982,                 1.3761,                 1.5032,                 2.3308,                  1.341,                 1.4365,                 2.4605,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.0482,                0.73824,                 1.4581,                 1.1991,                0.96118,                 1.5629,                 0.9313,                0.71438,                0.82207,                0.55904,                 1.2966,                 1.3739,                 2.1334,                 1.3639,                 1.4189,                 2.6814,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.0896,                0.69172,                 1.4001,                 1.1913,                0.96091,                 1.4811,                  0.827,                0.84211,                 0.8547,                0.52223,                 1.4354,                 1.4426,                  2.565,                  1.547,                  1.529,                  3.923,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.3752,                0.87146,                   1.85,                 1.4517,                 1.2128,                 1.8534,                0.66543,                0.73684,                 0.6917,                0.38606,                 1.4341,                 1.4936,                 2.5993,                 1.4007,                 1.8654,                 3.6247,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.3655,                0.97585,                 1.8619,                 1.4662,                  1.304,                 1.9322,                 0.4783,                0.77244,                0.53259,                 0.2662,                 1.3645,                 1.5326,                 2.6292,                  1.476,                 2.9737,                 2.5969,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.2206,                0.75082,                 1.5565,                 1.3476,                0.97726,                 1.6571,                0.53478,                0.63158,                0.48824,                0.25848,                 1.4924,                 1.6493,                  2.496,                 1.6712,                 3.0649,                 5.7631,              0.0004457,              0.0004457,              0.0004457
                    160,                 1.1424,                0.76837,                 1.5607,                 1.2726,                 1.1275,                 1.6343,                0.52934,                 0.8881,                0.50588,                 0.2737,                 1.4118,                 1.7003,                 2.6307,                 1.4744,                 3.6114,                 2.6046,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.1409,                0.77034,                 1.4505,                 1.2784,                 1.0552,                 1.5337,                0.52491,                0.73684,                0.51474,                0.28804,                 1.4468,                 1.7122,                 3.3224,                 1.3714,                 3.8213,                 2.5027,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.0212,                 0.6952,                   1.48,                 1.0457,                0.89736,                 1.4752,                0.47116,                0.78947,                0.47234,                0.26874,                 1.4392,                 1.6328,                 4.2118,                 1.3316,                 4.5418,                 2.4327,               0.000416,               0.000416,               0.000416
                    163,                0.97651,                0.68143,                 1.4552,                 1.0398,                0.96945,                 1.4698,                0.55299,                0.78947,                0.54155,                0.30571,                 1.4237,                 1.5642,                 3.9471,                 1.4157,                 4.2034,                 2.6903,              0.0004061,              0.0004061,              0.0004061
                    164,                  1.089,                0.73201,                 1.5037,                 1.2252,                0.95211,                 1.6217,                0.49656,                0.84211,                0.53039,                0.29081,                 1.4401,                 1.5303,                 3.0234,                 1.4393,                 3.6917,                 2.6641,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.0598,                0.71988,                 1.4714,                 1.2271,                 1.0033,                 1.5688,                0.53592,                0.79014,                0.60223,                0.34276,                 1.4313,                 1.5057,                 3.0153,                 1.3815,                 3.2586,                 2.5894,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.1378,                0.76482,                 1.4749,                 1.2332,                  1.072,                 1.5303,                0.66883,                0.84211,                0.64552,                0.34348,                 1.5212,                 1.4356,                  3.521,                 1.5375,                 2.5261,                 2.6416,              0.0003764,              0.0003764,              0.0003764
                    167,                 1.0996,                0.75098,                 1.5171,                 1.2315,                0.97824,                 1.5882,                0.60015,                0.78947,                0.62409,                0.32879,                 1.4692,                 1.4013,                 3.0376,                 1.4489,                 2.2784,                 2.6802,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.0124,                0.65512,                 1.4233,                 1.0367,                0.76065,                 1.4616,                0.87293,                0.72375,                0.81915,                0.46728,                 1.3271,                 1.2861,                 2.2408,                 1.3801,                 1.6897,                   2.53,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.0369,                0.70867,                 1.4517,                 1.1307,                0.96779,                 1.5282,                 0.9693,                0.78947,                0.88746,                0.53403,                 1.3347,                 1.3064,                 2.2975,                 1.3932,                 1.5114,                 2.4687,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.1267,                0.68247,                  1.585,                 1.1216,                 1.0466,                 1.5672,                0.84687,                0.89474,                0.87953,                0.53285,                 1.3438,                 1.2918,                 2.2363,                 1.3302,                 1.5312,                 2.4276,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.0582,                0.72139,                 1.4416,                 1.2278,                 1.0436,                 1.5339,                0.90567,                0.73684,                0.84494,                0.52057,                 1.3813,                  1.294,                 2.2603,                 1.2991,                 1.6101,                 2.4796,              0.0003269,              0.0003269,              0.0003269
                    172,                  1.074,                0.76966,                 1.5315,                 1.2401,                 1.1852,                 1.6489,                0.75084,                0.84211,                0.85343,                0.48986,                 1.4495,                 1.3915,                 2.3487,                 1.4306,                 1.7407,                 2.6683,               0.000317,               0.000317,               0.000317
                    173,                 1.1584,                0.74852,                 1.5527,                 1.2426,                 1.0382,                 1.6099,                0.78305,                0.78947,                0.82333,                0.46546,                 1.4397,                 1.4153,                 2.3453,                 1.4017,                 1.7803,                 2.6469,              0.0003071,              0.0003071,              0.0003071
                    174,                 1.0951,                0.81014,                 1.4645,                 1.2101,                 1.1023,                 1.5405,                0.81751,                0.78947,                0.80529,                0.44068,                 1.4326,                 1.4836,                 2.3388,                 1.3289,                 2.0056,                 2.5674,              0.0002972,              0.0002972,              0.0002972
                    175,                0.97744,                0.65843,                 1.3659,                  1.127,                0.88583,                 1.4164,                0.81506,                0.84211,                0.81892,                 0.4445,                 1.4462,                 1.5387,                 2.3342,                 1.3789,                  1.978,                 2.6247,              0.0002873,              0.0002873,              0.0002873
                    176,                0.99956,                0.63305,                 1.3975,                 1.0784,                0.87139,                 1.4603,                0.73937,                0.84211,                0.80511,                0.44883,                 1.4171,                 1.4184,                 2.3138,                 1.3282,                 1.8458,                 2.6244,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.0341,                0.68267,                  1.454,                 1.0529,                0.92369,                  1.473,                0.80741,                0.78947,                0.83077,                0.46819,                 1.3742,                 1.3517,                 2.2991,                 1.2279,                 1.8144,                 2.4768,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.0584,                0.75443,                   1.44,                  1.165,                 1.0214,                 1.5045,                0.91835,                0.78947,                0.86406,                0.55897,                 1.3499,                 1.2974,                 2.3272,                 1.2789,                 1.5436,                 2.6654,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.1595,                0.71779,                 1.4529,                 1.3776,                 1.0703,                 1.5541,                0.82142,                0.78947,                0.84586,                0.54279,                 1.3569,                  1.273,                 2.3486,                 1.2722,                 1.5703,                 2.6543,              0.0002477,              0.0002477,              0.0002477
                    180,                 1.0764,                0.71762,                 1.4458,                 1.1589,                 1.1509,                 1.4753,                0.98444,                0.68421,                 0.8552,                0.52285,                 1.3514,                 1.2291,                 2.2729,                 1.2585,                  1.606,                 2.5047,              0.0002378,              0.0002378,              0.0002378
                    181,                0.92123,                0.62848,                 1.3273,                 1.0879,                0.90259,                 1.4107,                 0.9388,                0.68421,                0.84597,                0.51466,                 1.3748,                 1.2316,                 2.2357,                 1.2943,                 1.6053,                 2.5685,              0.0002279,              0.0002279,              0.0002279
                    182,                0.88845,                0.62256,                 1.3373,                0.94708,                0.82007,                 1.3919,                      1,                0.67643,                0.84013,                0.50722,                 1.4141,                 1.2715,                 2.2777,                 1.3023,                 1.6748,                 2.5219,               0.000218,               0.000218,               0.000218
                    183,                 1.1552,                0.79025,                 1.5634,                 1.3612,                 1.0435,                 1.7413,                0.96529,                0.73684,                0.84723,                0.53229,                  1.397,                 1.2803,                 2.2674,                 1.2721,                 1.6369,                 2.4685,              0.0002081,              0.0002081,              0.0002081
                    184,                0.95085,                0.61828,                 1.3038,                 1.0137,                 0.8255,                 1.3564,                0.93632,                0.77461,                0.86171,                0.56307,                 1.2989,                 1.2627,                 2.1824,                 1.2057,                 1.5911,                  2.411,              0.0001982,              0.0001982,              0.0001982
                    185,                 1.0114,                0.69953,                 1.4903,                 1.1562,                  1.041,                 1.5972,                0.75762,                0.82316,                0.85303,                0.55208,                 1.2904,                 1.2714,                 2.2068,                  1.195,                 1.5589,                 2.3651,              0.0001883,              0.0001883,              0.0001883
                    186,                 1.0021,                0.69878,                 1.3759,                 1.0329,                0.98852,                 1.3933,                0.84207,                0.89474,                0.83508,                0.48888,                 1.3229,                 1.3054,                 2.2864,                 1.2563,                 1.6165,                 2.3693,              0.0001784,              0.0001784,              0.0001784
                    187,                0.95186,                0.64544,                 1.4295,                 1.0452,                0.91812,                 1.4832,                0.80666,                0.87889,                0.83903,                0.49527,                 1.3378,                 1.3417,                 2.3249,                 1.2599,                 1.6138,                  2.475,              0.0001685,              0.0001685,              0.0001685
                    188,                0.99354,                0.71497,                 1.3989,                 1.1303,                0.98085,                 1.4856,                0.83951,                0.82656,                0.83697,                0.49674,                 1.3115,                 1.3803,                  2.309,                 1.2432,                 1.6518,                  2.502,              0.0001586,              0.0001586,              0.0001586
                    189,                0.98618,                0.64293,                 1.4154,                 1.0947,                0.78096,                 1.4691,                0.80815,                0.88715,                0.84452,                0.50162,                  1.303,                 1.3545,                 2.2701,                 1.2307,                 1.6377,                 2.5092,              0.0001487,              0.0001487,              0.0001487
                    190,                 0.9701,                0.70393,                 1.4074,                 1.0217,                0.91646,                 1.4297,                0.84076,                0.84211,                0.82911,                0.49534,                 1.2958,                 1.3227,                 2.1822,                 1.2478,                 1.6736,                 2.6471,              0.0001388,              0.0001388,              0.0001388
                    191,                 1.0152,                0.70111,                 1.5815,                  1.057,                0.92941,                 1.6152,                0.74063,                0.89474,                0.83887,                0.50065,                 1.2823,                 1.3264,                 2.1692,                 1.2584,                 1.6689,                 2.6162,              0.0001289,              0.0001289,              0.0001289
                    192,                 1.0031,                0.71563,                 1.6011,                 1.0418,                0.94228,                 1.6723,                0.84704,                0.89474,                0.85525,                0.49892,                 1.2782,                 1.3349,                  2.165,                 1.3064,                 1.6868,                 2.6243,               0.000119,               0.000119,               0.000119
                    193,                0.91775,                0.69419,                 1.5476,                 0.9459,                0.93487,                 1.5871,                0.77406,                0.84211,                0.84289,                0.48419,                 1.2978,                 1.3428,                  2.165,                 1.2932,                 1.7654,                 2.5728,              0.0001091,              0.0001091,              0.0001091
                    194,                0.89293,                0.64405,                 1.5035,                0.95213,                0.83675,                 1.5615,                0.77039,                0.78947,                0.79548,                0.45133,                 1.3485,                 1.3632,                 2.2229,                 1.3677,                 1.7142,                 2.4438,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                 0.9566,                0.64787,                 1.5028,                0.93321,                0.86938,                 1.5193,                0.76414,                0.73684,                0.79411,                0.45071,                 1.3685,                  1.381,                 2.2348,                 1.3662,                 1.7234,                 2.4272,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.90467,                0.65667,                 1.5135,                0.91089,                0.90676,                 1.5189,                0.70358,                0.78947,                0.77808,                0.45219,                 1.3891,                 1.4093,                 2.1912,                 1.3706,                 1.7661,                 2.3318,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.92279,                0.66145,                 1.4984,                0.98106,                0.83164,                  1.565,                0.70062,                0.78947,                 0.7813,                0.45979,                 1.4035,                   1.44,                 2.2451,                 1.3523,                 1.7897,                 2.2736,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                 0.8703,                0.64626,                 1.5212,                0.89439,                0.83535,                 1.5688,                0.67682,                0.78947,                0.76553,                 0.4361,                 1.3889,                 1.4455,                 2.2226,                  1.356,                 1.8445,                 2.3544,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.97624,                 0.6648,                 1.5945,                0.99222,                0.81634,                 1.5996,                0.65791,                0.78947,                0.76961,                0.44319,                 1.3855,                 1.4667,                 2.2566,                 1.3559,                 1.8243,                 2.3669,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.88708,                0.63637,                 1.5106,                0.97135,                0.80145,                 1.5452,                0.68134,                0.84211,                 0.7731,                0.45121,                 1.3773,                 1.4967,                 2.2969,                 1.3585,                 1.8058,                 2.3785,               3.98e-05,               3.98e-05,               3.98e-05
